thread_ts,reply_count,unique_reply_users,single_responder,multiple_responders,contains_numeric_dates,contains_keywords
1759507245.426699,0,0,false,false,false,false
1759514808.528189,0,0,false,false,false,false
1759602093.168719,2,2,false,true,true,true
1759614908.856809,1,1,true,false,true,false
1759668979.080939,0,0,false,false,false,false
1759767574.748929,0,0,false,false,false,false
1759768501.594959,3,2,false,true,true,true
1759853458.583299,1,1,true,false,true,true
1759948992.093909,1,1,true,false,true,true
1759956832.243239,0,0,false,false,false,false
1760026578.867669,0,0,false,false,false,false
1760202030.828529,1,1,true,false,true,true
1760539826.575479,0,0,false,false,false,false
1760806517.403829,1,1,true,false,true,true
1760814453.461669,1,1,true,false,false,false
1760973635.478849,0,0,false,false,false,false
1761074943.005779,1,1,true,false,false,false
1761079465.367839,1,1,true,false,true,true
1761144043.879879,4,2,false,true,false,false
1761316822.491469,1,1,true,false,true,true
1761320177.333389,0,0,false,false,false,false
1761589968.897709,1,1,true,false,true,true
1761663540.718309,1,1,true,false,false,false
1761753654.992809,1,1,true,false,true,false
1761766194.972519,1,1,true,false,true,false
1761832068.889749,1,1,true,false,true,false
1761837448.483759,1,1,true,false,false,false
1761840208.134499,1,1,true,false,true,true
1761922679.338319,1,1,true,false,true,true
1761927618.815669,1,1,true,false,false,false
1761934860.391979,1,1,true,false,true,false
1762184233.516689,1,1,true,false,true,true
1762185131.663019,0,0,false,false,false,false
1762209604.765069,0,0,false,false,false,false
1762274222.162849,0,0,false,false,false,false
1762291754.906469,1,1,true,false,true,true
1762542776.339209,1,1,true,false,true,true
1762961403.316559,1,1,true,false,true,true
1762967251.487339,1,1,true,false,true,true
1762973043.079999,1,1,true,false,false,false
1763069947.275909,1,1,true,false,true,true
1763070358.191769,1,1,true,false,false,false
1763071647.402799,0,0,false,false,false,false
1763227201.251669,0,0,false,false,false,false
1763394939.456749,0,0,false,false,false,false
1763479196.688749,3,2,false,true,true,true
1763737446.750269,0,0,false,false,false,false
1763738284.598359,1,1,true,false,true,true
1763745052.801049,0,0,false,false,false,false
1763764060.432529,0,0,false,false,false,false
1763830225.762919,0,0,false,false,false,false
1763838321.501209,1,1,true,false,true,true
1764001649.646669,0,0,false,false,false,false
1764008746.866759,4,2,false,true,true,true
1764022101.509829,1,1,true,false,true,true
1764174731.245589,0,0,false,false,false,false
1764176929.008209,1,1,true,false,true,true
1764604774.808539,0,0,false,false,false,false
1764618075.483079,0,0,false,false,false,false
1764621668.819849,0,0,false,false,false,false
1764707389.810629,0,0,false,false,false,false
1764863990.144899,1,1,true,false,true,true
1764865535.144359,5,2,false,true,false,false
1764960433.629939,1,1,true,false,true,true
1764960947.046349,2,2,false,true,true,true
1764971800.424429,2,2,false,true,false,true
1765060630.721499,4,2,false,true,true,true
1765135642.186219,0,0,false,false,false,false
1765386562.641319,1,1,true,false,true,true
1765401056.355399,1,1,true,false,false,false
1765465854.786579,1,1,true,false,true,true
1765485326.676539,1,1,true,false,false,false
1765641273.638869,1,1,true,false,true,true
1765641368.757079,0,0,false,false,false,false
1765641657.229929,1,1,true,false,true,true
1765647256.254329,0,0,false,false,false,false
1765813144.412369,0,0,false,false,false,false
1765815292.268999,1,1,true,false,true,true
1765816929.120639,1,1,true,false,false,false
1765901127.623969,0,0,false,false,false,false
1765904445.645919,1,1,true,false,true,true
1765984964.008469,0,0,false,false,false,false
1766006489.237809,0,0,false,false,false,false
1766006993.713519,1,1,true,false,true,true
1766085968.486499,0,0,false,false,false,false
1766092360.902939,1,1,true,false,true,true
1766098164.592169,0,0,false,false,false,false
1766174173.734969,0,0,false,false,false,false
1766174452.632629,0,0,false,false,false,false
1766178552.421009,0,0,false,false,false,false
1766256289.219459,0,0,false,false,false,false
1766432382.925969,0,0,false,false,false,false
1766439318.500989,4,2,false,true,false,false
1766505956.534769,0,0,false,false,false,false
1766505994.503629,0,0,false,false,false,false
1766506013.865469,0,0,false,false,false,false
1766506042.900449,0,0,false,false,false,true
1766506064.533019,0,0,false,false,false,false
1766506096.286019,0,0,false,false,false,false
1766506160.003959,0,0,false,false,false,false
1766510111.740739,0,0,false,false,false,false
1767024626.951429,0,0,false,false,false,false
1767045669.182069,0,0,false,false,false,false
1767129758.466099,0,0,false,false,false,false
1767133357.453599,1,1,true,false,false,false
1767367149.919159,0,0,false,false,false,false
1767480544.490179,0,0,false,false,true,false
1767639597.141099,0,0,false,false,false,false
1767731438.958079,0,0,false,false,false,false
