Product ID,Title,Author/SKU,ISBN/Barcode,Inventory,Unfulfilled Qty,Collections
gid://shopify/Product/7161578750085,The Anatomy of a Japanese Knife: The Ultimate Guide to the Culture and Craft,Helen Symonds and Tom Saunders,9781837834143,0,2,Good Reads
gid://shopify/Product/6693307973765,"Khabaar: An Immigrant Journey of Food, Memory, and Family",Madhushree Ghosh,9781609388232,0,1,Good Reads
gid://shopify/Product/7073030733957,Uses for Obsession: A Chef's Memoir,Ben Shewry,9781922616845,-1,1,Good Reads
gid://shopify/Product/6827286921349,Identidad Zapoteca: La cocina de Abigail Mendoza Ruiz y sus hermanas,Claudia Espinoza,,-1,1,"Professional Chef and Restaurant Books, International & Ethnic Cookbooks"
gid://shopify/Product/6907325055109,"Baladi: Palestine, a Celebration of Food from Land and Sea (Flexibound)",Joudie Kalla,9781623711030,0,1,"Everyday Cooking, International & Ethnic Cookbooks"
gid://shopify/Product/7161579012229,Dobre Dobre: Baking from Poland and Beyond,Laurel Kratochvila,9781797232096,-1,1,Home Baking & Dessert Books
gid://shopify/Product/5238904750213,Marine Et Vegetale,Alexandre Couillon,9782352552680,-2,2,"Professional Chef and Restaurant Books, Michelin Starred Restaurants"
gid://shopify/Product/6565645746309,Petits Propos Culinaires 73,Petits Propos Culinaires,PPC73,0,1,"Periodicals, Food History and Scholarship Books"
gid://shopify/Product/7169020526725,Tastes and Traditions: A Journey Through Menu History,Nathalie Cooke,9781836390671,-4,4,Food History and Scholarship Books
gid://shopify/Product/7203082633349,The Japanese Art of Pickling and Fermenting,Yoko Nakazawa,9781923239135,-5,5,"International & Ethnic Cookbooks, Single Subject"
gid://shopify/Product/7169021771909,A Rainbow Palate: How Chemical Dyes Changed the West's Relationship with Food,Carolyn Cobbold,9780226845531,-3,3,Food History and Scholarship Books
gid://shopify/Product/7205952454789,The Japanese Way of Whisky: Japan's Whiskies and How to Enjoy Them,Dave Broom,9781840919219,0,1,Beverage Books
gid://shopify/Product/7087412183173,Sankaku Vol. 2: Ramen (Standard Edition),Sankaku Editors,Sankaku 2,-1,2,"Periodicals, Limited Editions"
gid://shopify/Product/6619032191109,A Short History of Spaghetti With Tomato Sauce: The Unbelievable True Story of the World's Most Beloved Dish,Massimo Montanari,9781609457099,0,1,Food History and Scholarship Books
gid://shopify/Product/6882679881861,OP: Pie Marches On,Monroe Boston Strause,,0,1,Out-of-Print Offers
gid://shopify/Product/6858485203077,A Ukrainian Christmas,Yaroslav Hrytsak and Nadiyka Gerbish,9781408728413,-1,1,"Food History and Scholarship Books, Home Baking & Dessert Books, International & Ethnic Cookbooks, Single Subject"
gid://shopify/Product/5238808739973,The Loaves and Fishes Cookbook [2nd Ed],Ana Pump with Gen Leroy,PUMP,-1,2,"American Regional, Everyday Cooking"
gid://shopify/Product/7203732357253,Nile Nightshade: An Egyptian Culinary History of the Tomato,Anny Gaul,9780520409149,-2,3,Food History and Scholarship Books
gid://shopify/Product/6658764046469,Belgian Cafe Culture: A Portrait of the Iconic Beer Cafe,Regula Ysewijn,9789460582950,0,1,"International & Ethnic Cookbooks, Reference"
gid://shopify/Product/5238857171077,"Sweet + Salty: The Art of Vegan Chocolates, Truffles, Caramels, and More from Lagusta's Luscious",Lagusta Yearwood,9780738235073,-1,1,Vegan and Vegetarian Cookbooks
gid://shopify/Product/5238833676421,Perfection Salad: Women and Cooking at the Turn of the Century,Laura Shapiro,9780520257382,-1,1,
gid://shopify/Product/5238860021893,"Taste of Persia: A Cook's Travels Through Armenia, Azerbaijan, Georgia, Iran, and Kurdistan",Naomi Duguid,9781579655488,0,1,
gid://shopify/Product/7201631273093,La Glace De Nos Reves,Henri Guittet,9782412094297,-1,1,"Professional Chef and Restaurant Books, Home Baking & Dessert Books"
gid://shopify/Product/5238919037061,Le Cookie De Nos Reves; Textures Et Techniques Ultimes,Deborah Dupont-Daguet,9782412050842,0,1,Home Baking & Dessert Books
gid://shopify/Product/6704781230213,The Amalfi Coast: A Collection of Italian recipes,Katie Caldesi and Giancarlo Caldesi,9781784885021,0,1,International & Ethnic Cookbooks
